SID,Targets,Attributes,Description,Fix Type,Fix,Solution,Validation
DS01,Server,,Excavation,Control,(target.controls.sanitizesInput is True and target.controls.validatesInput is True) and target.controls.encodesOutput is True,,
INP04,Server,,HTTP Request Splitting,Attribute and Control,(target.controls.validatesInput is True and target.controls.validatesHeaders is True) or target.protocol !='HTTP',,
CR01,Server,,Session Sidejacking,Attribute,(target.protocol != 'HTTP' and target.usesVPN is True) or target.usesSessionTokens is False,,
CR02,Server,,Cross Site Tracing,Attribute and Control,(target.protocol != 'HTTP' or target.usesSessionTokens is False) or (target.controls.sanitizesInput is True and target.controls.validatesInput is True),,
INP15,Server,,IMAP/SMTP Command Injection,Attribute and Control,(target.protocol != 'IMAP' and target.protocol != 'SMTP') or target.controls.sanitizesInput is True,,
AC10,Server,,Exploiting Incorrectly Configured SSL,Attribute and Control,target.checkTLSVersion(target.inputs) is False or (target.controls.implementsAuthenticationScheme is True and target.controls.authorizesSource is True),,
AA01,Server,,Authentication Abuse/ByPass,Control,target.controls.authenticatesSource is True,,
AA02,Server,,Principal Spoof,Control,target.controls.authenticatesSource is True,,
INP34,Server,,SOAP Array Overflow,Control,target.controls.checksInputBounds is True,,
DS04,Server,,XSS Targeting Error Pages,Control,target.controls.encodesOutput is True and target.controls.validatesInput is True and target.controls.sanitizesInput is True,,
DO02,Server,,Excessive Allocation,Control,target.controls.handlesResourceConsumption is True,,
DO01,Server,,Flooding,Control,target.controls.handlesResourceConsumption is True and target.controls.isResilient is True,,
AC07,Server,,Exploiting Incorrectly Configured Access Control Security Levels,Control,target.controls.hasAccessControl is True,,
AC08,Server,,Manipulate Registry Information,Control,target.controls.hasAccessControl is True,,
AC01,Server,,Privilege Abuse,Control,target.controls.hasAccessControl is True and target.controls.authorizesSource is True,,
AC09,Server,,Functionality Misuse,Control,target.controls.hasAccessControl is True and target.controls.authorizesSource is True,,
CR03,Server,OS=Windows,Dictionary-based Password Attack,Control,target.controls.implementsAuthenticationScheme is True,Active Directory,
CR03,Server,OS=Unix,Dictionary-based Password Attack,Control,target.controls.implementsAuthenticationScheme is True,Samba Active Directory,
AA04,Server,,Exploiting Trust in Client,Control,target.controls.implementsServerSideValidation is True or (target.controls.providesIntegrity is True and target.controls.authorizesSource is True),,
INP36,Server,,HTTP Response Smuggling,Control,target.controls.implementsStrictHTTPValidation is True or target.controls.encodesHeaders is True,,
INP37,Server,,HTTP Request Smuggling,Control,target.controls.implementsStrictHTTPValidation is True or target.controls.encodesHeaders is True,,
DS03,Server,,Footprinting,Control,target.controls.isHardened is True,,
AC06,Server,,Using Malicious Files,Control,target.controls.isHardened is True and target.controls.hasAccessControl is True,,
AA03,Server,,Exploitation of Trusted Credentials,Control,target.controls.providesIntegrity is True and target.controls.authenticatesSource is True and target.controls.usesStrongSessionIdentifiers is True,,
SC05,Server,,Removing Important Client Functionality,Control,target.controls.providesIntegrity is True and target.controls.usesCodeSigning is True,,
INP03,Server,,Server Side Include (SSI) Injection,Control,target.controls.sanitizesInput is True and target.controls.encodesOutput is True,,
INP18,Server,,Fuzzing and observing application log data/errors for application mapping,Control,target.controls.sanitizesInput is True and target.controls.encodesOutput is True,,
SC04,Server,,XSS Using Alternate Syntax,Control,target.controls.sanitizesInput is True and target.controls.validatesInput is True and target.controls.encodesOutput is True,,
CR05,Server,,Encryption Brute Forcing,Control,target.controls.usesEncryptionAlgorithm == 'RSA' or target.controls.usesEncryptionAlgorithm == 'AES',,
AC11,Server,,Session Credential Falsification through Manipulation,Control,target.controls.usesStrongSessionIdentifiers is True,,
AC16,Server,,Session Credential Falsification through Prediction,Control,target.controls.usesStrongSessionIdentifiers is True,,
AC17,Server,,Session Hijacking - ServerSide,Control,target.controls.usesStrongSessionIdentifiers is True,,
INP17,Server,,XSS Using MIME Type Mismatch,Control,target.controls.validatesContentType is True and target.controls.invokesScriptFilters is True,,
HA03,Server,,Web Application Fingerprinting,Control,target.controls.validatesHeaders is True and target.controls.encodesOutput is True and target.controls.isHardened is True,,
HA01,Server,,Path Traversal,Control,target.controls.validatesInput is False and target.controls.sanitizesInput is False,,
INP05,Server,,Command Line Execution through SQL Injection,Control,target.controls.validatesInput is True,,
INP09,Server,,LDAP Injection,Control,target.controls.validatesInput is True,,
INP10,Server,,Parameter Injection,Control,target.controls.validatesInput is True,,
INP14,Server,,Input Data Manipulation,Control,target.controls.validatesInput is True,,
INP16,Server,,PHP Remote File Inclusion,Control,target.controls.validatesInput is True,,
SC02,Server,,XSS Targeting Non-Script Elements,Control,target.controls.validatesInput is True and target.controls.encodesOutput is True,,
DE02,Server,,Double Encoding,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,,
INP08,Server,,Format String Injection,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,,
INP11,Server,,Relative Path Traversal,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,,
INP28,Server,,XSS Targeting URI Placeholders,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True and target.controls.encodesOutput is True,,
INP29,Server,,XSS Using Doubled Characters,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True and target.controls.encodesOutput is True,,
SC03,Server,,Embedding Scripts within Scripts,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True and target.controls.hasAccessControl is True,,
INP06,Server,,SQL Injection through SOAP Parameter Tampering,Attribute and Control,target.protocol != 'SOAP' or (target.controls.sanitizesInput is True and target.controls.validatesInput is True),,
DS05,Server,,Lifting Sensitive Data Embedded in Cache,Attribute,target.usesCache is False,,
AC19,Server,,Reusing Session IDs (aka Session Replay) - ServerSide,Attribute and Control,target.usesSessionTokens is False or target.controls.implementsNonce is True,,
CR04,Server,,Session Credential Falsification through Forging,Attribute and Control,target.usesSessionTokens is False or target.controls.implementsNonce is True,,
DO05,Server,,XML Nested Payloads,Attribute and Control,target.usesXMLParser is False or (target.controls.validatesInput is True and target.controls.sanitizesInput is True),,
INP19,Server,,XML External Entities Blowup,Attribute and Control,target.usesXMLParser is True and target.controls.disablesDTD is True,,
INP21,Server,,DTD Injection,Attribute and Control,target.usesXMLParser is True and target.controls.disablesDTD is True,,
INP22,Server,,XML Attribute Blowup,Attribute and Control,target.usesXMLParser is True and target.controls.disablesDTD is True,,
